"","DateTimeUTC","Lat","Long","lc"
"97",2019-09-17 09:22:37,36.3593,-122.1146,3
"98",2019-09-17 09:24:07,36.3577,-122.1149,3
"99",2019-09-17 09:30:08,36.3515,-122.1196,3
"100",2019-09-17 09:41:39,36.3417,-122.1215,3
"101",2019-09-17 09:47:16,36.3362,-122.1242,3
"102",2019-09-17 09:52:53,36.3302,-122.1278,3
"103",2019-09-17 10:02:06,36.3223,-122.1356,3
"104",2019-09-17 10:10:29,36.3145,-122.1429,3
"105",2019-09-17 10:16:26,36.3093,-122.1464,3
"106",2019-09-17 10:29:20,36.2987,-122.1576,3
"107",2019-09-17 10:40:40,36.2895,-122.1654,3
"108",2019-09-17 10:44:57,36.2862,-122.1682,3
"109",2019-09-17 10:49:16,36.2815,-122.1713,3
"110",2019-09-17 10:53:21,36.278,-122.1729,3
"111",2019-09-17 11:10:22,36.2646,-122.1719,3
"112",2019-09-17 11:14:58,36.2617,-122.169,3
"113",2019-09-17 11:20:39,36.2596,-122.1645,3
"114",2019-09-17 11:32:26,36.2546,-122.155,3
"115",2019-09-17 11:43:56,36.2546,-122.1444,3
"116",2019-09-17 12:07:33,36.2565,-122.1244,3
"117",2019-09-17 12:15:30,36.2574,-122.1154,3
"118",2019-09-17 12:24:53,36.2619,-122.1054,3
"119",2019-09-17 12:30:22,36.2596,-122.1011,3
"120",2019-09-17 12:35:42,36.2564,-122.1028,3
"121",2019-09-17 12:39:26,36.252,-122.1028,3
"122",2019-09-17 12:55:56,36.2399,-122.1052,3
"123",2019-09-17 12:58:33,36.2366,-122.1066,3
"124",2019-09-17 13:08:52,36.2226,-122.1087,3
"125",2019-09-17 13:13:01,36.2252,-122.1114,3
"126",2019-09-17 13:30:30,36.213,-122.1177,3
"127",2019-09-17 13:34:03,36.2106,-122.1202,3
"128",2019-09-17 13:56:03,36.1931,-122.1337,3
"129",2019-09-17 14:18:46,36.1744,-122.1497,3
"130",2019-09-17 14:34:55,36.1619,-122.1605,3
"131",2019-09-17 14:37:30,36.1598,-122.1605,3
"132",2019-09-17 14:56:01,36.1441,-122.1672,3
"133",2019-09-17 15:03:01,36.1376,-122.1705,3
"134",2019-09-17 15:16:11,36.1278,-122.1713,3
"135",2019-09-17 15:25:01,36.1192,-122.1694,3
"136",2019-09-17 15:29:16,36.1158,-122.1685,3
