ID,tzOffsetNumeric,tzOffset,Region,Location,Migration,Res,tagon,tagoff,MigrationStart,DataLength,Note
Bm181021-TDR11,-7,Etc/GMT+7,Gulf of the Farallones,Shelf Edge,1,Hi-Res,10/21/2018 10:23,11/22/2018 10:57,10/31/2018 14:42,32.02,
Bm190916-TDR14,-7,Etc/GMT+7,Central California,Big Sur,1,Hi-Res,9/19/2019 15:36,10/4/2019 22:43,9/23/2019 13:40,18.34,
