TotLength,EnCost,EnCostMinusCetER,EnCostkJ,EnCostkJMinusCetER,Log10TotLength,Log10EnCostkJMinusCetER
8.150267839,1562508.111,1041672.074,1562.508111,1041.672074,0.911171881,3.017731021
8.150267839,883134.5451,588756.3634,883.1345451,588.7563634,0.911171881,2.769935614
8.150267839,311177.8054,207451.8703,311.1778054,207.4518703,0.911171881,2.316917355
8.150267839,831413.821,554275.8807,831.413821,554.2758807,0.911171881,2.743725981
8.150267839,1112506.026,741670.684,1112.506026,741.670684,0.911171881,2.870211113
8.150267839,1009005.872,672670.5813,1009.005872,672.6705813,0.911171881,2.827802435
8.150267839,1476003.331,984002.2207,1476.003331,984.0022207,0.911171881,2.992996079
8.150267839,1592908.853,1061939.235,1592.908853,1061.939235,0.911171881,3.026099667
8.150267839,1084172.015,722781.3433,1084.172015,722.7813433,0.911171881,2.859006934
8.150267839,2148876.504,1432584.336,2148.876504,1432.584336,0.911171881,3.156120198
8.150267839,986732.8806,657821.9204,986.7328806,657.8219204,0.911171881,2.818108341
8.150267839,257227.9494,171485.2996,257.2279494,171.4852996,0.911171881,2.234226897
8.150267839,1330649.884,887099.9227,1330.649884,887.0999227,0.911171881,2.947972541
8.150267839,1121872.874,747915.2493,1121.872874,747.9152493,0.911171881,2.873852388
8.150267839,1206351.968,804234.6453,1206.351968,804.2346453,0.911171881,2.905382778
8.150267839,359135.295,239423.53,359.135295,239.42353,0.911171881,2.37916683
8.150267839,883138.9386,588759.2924,883.1389386,588.7592924,0.911171881,2.769937775
8.150267839,800550.2363,533700.1575,800.5502363,533.7001575,0.911171881,2.727297331
8.150267839,1534670.944,1023113.963,1534.670944,1023.113963,0.911171881,3.009924012
8.150267839,1069178.706,712785.804,1069.178706,712.785804,0.911171881,2.852959042
8.150267839,1029036.992,686024.6613,1029.036992,686.0246613,0.911171881,2.836339728
8.150267839,1778652.988,1185768.659,1778.652988,1185.768659,0.911171881,3.073999967
8.150267839,1156138.084,770758.7227,1156.138084,770.7587227,0.911171881,2.886918448
8.150267839,1784602.972,1189735.315,1784.602972,1189.735315,0.911171881,3.075450353
8.150267839,2282523.967,1521682.645,2282.523967,1521.682645,0.911171881,3.182324087
8.150267839,1040054.995,693369.9967,1040.054995,693.3699967,0.911171881,2.840965045
8.150267839,637004.6144,424669.7429,637.0046144,424.6697429,0.911171881,2.628051319
8.150267839,1276641.788,851094.5253,1276.641788,851.0945253,0.911171881,2.929977797
8.150267839,1875370.672,1250247.115,1875.370672,1250.247115,0.911171881,3.096995861
8.150267839,1462161.123,974774.082,1462.161123,974.774082,0.911171881,2.988903973
4.654857634,253323.0638,168882.0425,253.3230638,168.8820425,0.667906403,2.227583473
4.654857634,762303.6271,508202.4181,762.3036271,508.2024181,0.667906403,2.706036727
4.654857634,410224.0223,273482.6815,410.2240223,273.4826815,0.667906403,2.43692983
4.654857634,300143.3584,200095.5723,300.1433584,200.0955723,0.667906403,2.301237479
4.654857634,498720.8321,332480.5547,498.7208321,332.4805547,0.667906403,2.52176625
4.654857634,399708.4865,266472.3243,399.7084865,266.4723243,0.667906403,2.42565211
4.654857634,453109.7929,302073.1953,453.1097929,302.0731953,0.667906403,2.480112189
4.654857634,368246.992,245497.9947,368.246992,245.4979947,0.667906403,2.390047949
4.654857634,444037.1928,296024.7952,444.0371928,296.0247952,0.667906403,2.471328089
4.654857634,195800.9096,130533.9397,195.8009096,130.5339397,0.667906403,2.115723446
4.654857634,567573.6392,378382.4261,567.5736392,378.3824261,0.667906403,2.577930958
4.654857634,272928.8863,181952.5909,272.9288863,181.9525909,0.667906403,2.259958244
4.654857634,348420.8141,232280.5427,348.4208141,232.2805427,0.667906403,2.366012832
4.654857634,320982.3479,213988.2319,320.9823479,213.9882319,0.667906403,2.33038989
4.654857634,370702.2778,247134.8519,370.7022778,247.1348519,0.667906403,2.392933996
4.654857634,570229.5766,380153.0511,570.2295766,380.1530511,0.667906403,2.57995848
4.654857634,228431.7442,152287.8295,228.4317442,152.2878295,0.667906403,2.182665197
4.654857634,238285.7948,158857.1965,238.2857948,158.8571965,0.667906403,2.201006894
4.654857634,462049.3556,308032.9037,462.0493556,308.0329037,0.667906403,2.48859711
4.654857634,471973.3879,314648.9253,471.9733879,314.6489253,0.667906403,2.497826253
4.654857634,460350.1389,306900.0926,460.3501389,306.9000926,0.667906403,2.486997019
4.654857634,635710.5808,423807.0539,635.7105808,423.8070539,0.667906403,2.627168181
4.654857634,357781.3356,238520.8904,357.7813356,238.5208904,0.667906403,2.377526422
4.654857634,261604.6579,174403.1053,261.6046579,174.4031053,0.667906403,2.241554213
4.654857634,476580.9296,317720.6197,476.5809296,317.7206197,0.667906403,2.502045401
4.654857634,423107.6154,282071.7436,423.1076154,282.0717436,0.667906403,2.450359583
4.654857634,310894.745,207263.1633,310.894745,207.2631633,0.667906403,2.316522122
4.654857634,402333.6926,268222.4617,402.3336926,268.2224617,0.667906403,2.428495144
4.654857634,482698.3201,321798.8801,482.6983201,321.7988801,0.667906403,2.507584528
4.654857634,479193.8392,319462.5595,479.1938392,319.4625595,0.667906403,2.504419967
8.089323455,689530.7659,459687.1773,689.5307659,459.6871773,0.907912201,2.66246239
8.089323455,982143.8239,654762.5493,982.1438239,654.7625493,0.907912201,2.816083831
8.089323455,852053.6033,568035.7355,852.0536033,568.0357355,0.907912201,2.754375658
8.089323455,1238855.89,825903.9267,1238.85589,825.9039267,0.907912201,2.916929531
8.089323455,794123.2708,529415.5139,794.1232708,529.4155139,0.907912201,2.723796664
