event-id,visible,timestamp,location-long,location-lat,expanded-time,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,behavioural-classification,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
679432280,TRUE,57:50.0,-27.95841059,41.50496622,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432281,TRUE,57:21.0,-28.0044164,41.58138004,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432282,TRUE,56:52.0,-28.03907581,41.69593727,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432283,TRUE,56:23.0,-28.0263476,41.75665931,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432284,TRUE,55:55.0,-28.0586029,41.81225593,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432285,TRUE,55:26.0,-28.11190506,41.85672994,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432286,TRUE,54:57.0,-28.13815621,41.99862718,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432287,TRUE,54:28.0,-28.11901482,42.10784478,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432288,TRUE,53:59.0,-28.15744641,42.23670419,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432289,TRUE,53:31.0,-28.14895044,42.39251144,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432290,TRUE,53:02.0,-28.23867243,42.59721636,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432291,TRUE,52:33.0,-28.29905001,42.73400495,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
679432292,TRUE,52:04.0,-28.40592924,42.80093471,,,,,,,,,,,,,,,,,,,,,,,,,,0,argos-doppler-shift,Balaenoptera physalus,89969,89969,Azores Great Whales Satellite Telemetry Program 
